Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-11-02,0.366,0.367,0.3513,0.356,280938.00000000,2022-11-02 23:59:59.999000064,101160.17950000,697,99303.00000000,35779.89990000,0
2022-11-03,0.3544,0.3726,0.354,0.3635,439232.00000000,2022-11-03 23:59:59.999000064,159863.50590000,990,220297.00000000,80294.20330000,0
2022-11-04,0.3632,0.4947,0.3626,0.3754,13194804.00000000,2022-11-04 23:59:59.999000064,5566113.83070000,26216,6035176.00000000,2548508.70140000,0
2022-11-05,0.3754,0.399,0.3736,0.3782,1648702.00000000,2022-11-05 23:59:59.999000064,631293.68340000,3471,857415.00000000,327948.83720000,0
2022-11-06,0.3774,0.3849,0.3688,0.3698,806352.00000000,2022-11-06 23:59:59.999000064,304253.88930000,1860,414897.00000000,156575.45790000,0
2022-11-07,0.3696,0.383,0.3648,0.3683,452628.00000000,2022-11-07 23:59:59.999000064,168355.25890000,1292,240863.00000000,89773.63220000,0
2022-11-08,0.368,0.3706,0.2813,0.3122,6033870.00000000,2022-11-08 23:59:59.999000064,1903331.01700000,9008,2898498.00000000,916226.37190000,0
2022-11-09,0.3119,0.3138,0.2284,0.2332,2025553.00000000,2022-11-09 23:59:59.999000064,547595.52250000,3693,917590.00000000,249602.48920000,0
2022-11-10,0.2326,0.2898,0.231,0.2792,2154220.00000000,2022-11-10 23:59:59.999000064,575177.79540000,3043,1002093.00000000,270415.94370000,0
2022-11-11,0.2772,0.3027,0.2451,0.2648,2644185.00000000,2022-11-11 23:59:59.999000064,692707.08880000,3107,1262308.00000000,333693.73350000,0
2022-11-12,0.2648,0.283,0.2517,0.2642,660615.00000000,2022-11-12 23:59:59.999000064,175829.85130000,1152,305260.00000000,81527.82630000,0
2022-11-13,0.2636,0.2905,0.2531,0.2591,1040360.00000000,2022-11-13 23:59:59.999000064,278053.55040000,1490,474901.00000000,127493.58870000,0
2022-11-14,0.2611,0.2712,0.2302,0.266,1302343.00000000,2022-11-14 23:59:59.999000064,329115.08970000,1593,740699.00000000,187388.90940000,0
2022-11-15,0.2678,0.2825,0.2655,0.2693,571366.00000000,2022-11-15 23:59:59.999000064,155306.43450000,1088,261379.00000000,71147.77440000,0
2022-11-16,0.2698,0.3126,0.2694,0.2738,3397886.00000000,2022-11-16 23:59:59.999000064,993336.69850000,6049,1588774.00000000,464829.93280000,0
