Open Time,Values
1670040000000,BNB-292.70000000-290.00000000
1670054400000,BNB-291.00000000-289.00000000
1670068800000,BNB-292.60000000-290.10000000
1670083200000,BNB-292.70000000-290.80000000
1670097600000,BNB-292.50000000-290.10000000
1670112000000,BNB-292.40000000-290.00000000
1670126400000,BNB-292.50000000-291.00000000
1670140800000,BNB-292.30000000-288.90000000
1670155200000,BNB-291.50000000-287.50000000
1670169600000,BNB-291.70000000-289.20000000
1670184000000,BNB-292.80000000-291.10000000
1670198400000,BNB-296.70000000-291.50000000
1670212800000,BNB-297.30000000-294.60000000
1670227200000,BNB-297.20000000-294.50000000
1670241600000,BNB-296.00000000-289.40000000
1670256000000,BNB-290.50000000-286.20000000
1670270400000,BNB-288.80000000-286.10000000
1670284800000,BNB-290.50000000-288.20000000
1670299200000,BNB-290.10000000-288.30000000
1670313600000,BNB-290.00000000-287.00000000
1670328000000,BNB-289.30000000-287.40000000
1670342400000,BNB-289.20000000-286.60000000
1670356800000,BNB-290.70000000-288.20000000
1670371200000,BNB-291.00000000-288.30000000
1670385600000,BNB-289.30000000-281.60000000
1670400000000,BNB-284.50000000-281.20000000
1670414400000,BNB-285.10000000-282.50000000
1670428800000,BNB-283.90000000-282.30000000
1670443200000,BNB-284.90000000-282.80000000
1670457600000,BNB-284.90000000-282.50000000
1670472000000,BNB-285.80000000-283.00000000
1670486400000,BNB-286.30000000-282.90000000
1670500800000,BNB-288.20000000-284.60000000
1670515200000,BNB-292.00000000-287.30000000
1670529600000,BNB-291.80000000-288.60000000
1670544000000,BNB-291.40000000-289.00000000
1670558400000,BNB-290.70000000-289.20000000
1670572800000,BNB-291.80000000-289.50000000
1670587200000,BNB-292.20000000-287.30000000
1670601600000,BNB-290.20000000-286.50000000
1670616000000,BNB-288.10000000-284.60000000
1670630400000,BNB-287.50000000-285.50000000
1670644800000,BNB-287.50000000-286.40000000
1670659200000,BNB-288.00000000-285.80000000
1670673600000,BNB-289.40000000-287.00000000
1670688000000,BNB-289.90000000-287.60000000
1670702400000,BNB-288.60000000-287.60000000
1670716800000,BNB-290.90000000-287.70000000
1670731200000,BNB-291.10000000-289.70000000
1670745600000,BNB-290.50000000-289.60000000
1670760000000,BNB-290.20000000-288.90000000
1670774400000,BNB-291.30000000-289.10000000
1670788800000,BNB-290.00000000-283.40000000
1670803200000,BNB-285.70000000-281.50000000
1670817600000,BNB-282.80000000-280.20000000
1670832000000,BNB-284.10000000-280.30000000
1670846400000,BNB-283.80000000-271.80000000
1670860800000,BNB-277.50000000-273.20000000
1670875200000,BNB-277.60000000-273.10000000
1670889600000,BNB-277.40000000-265.60000000
1670904000000,BNB-269.60000000-255.70000000
1670918400000,BNB-271.60000000-262.70000000
1670932800000,BNB-282.00000000-264.20000000
1670947200000,BNB-275.40000000-266.50000000
1670961600000,BNB-273.50000000-268.00000000
1670976000000,BNB-278.50000000-271.30000000
1670990400000,BNB-276.30000000-273.40000000
1671004800000,BNB-276.70000000-271.00000000
1671019200000,BNB-274.30000000-269.00000000
1671033600000,BNB-274.00000000-265.70000000
1671048000000,BNB-269.10000000-265.60000000
1671062400000,BNB-268.10000000-261.70000000
1671076800000,BNB-266.10000000-264.10000000
1671091200000,BNB-267.20000000-263.90000000
1671105600000,BNB-265.90000000-262.20000000
1671120000000,BNB-263.80000000-258.80000000
1671134400000,BNB-261.70000000-256.50000000
1671148800000,BNB-262.90000000-257.60000000
1671163200000,BNB-264.70000000-260.50000000
1671177600000,BNB-264.00000000-246.60000000
1671192000000,BNB-252.00000000-246.10000000
1671206400000,BNB-247.40000000-240.50000000
1671220800000,BNB-246.50000000-224.80000000
1671235200000,BNB-234.40000000-220.00000000
1671249600000,BNB-239.50000000-227.50000000
1671264000000,BNB-241.80000000-234.40000000
1671278400000,BNB-239.90000000-236.40000000
1671292800000,BNB-237.90000000-235.00000000
1671307200000,BNB-245.00000000-235.00000000
1671321600000,BNB-249.20000000-239.60000000
1671336000000,BNB-253.90000000-245.30000000
1671350400000,BNB-248.90000000-244.10000000
1671364800000,BNB-247.90000000-244.80000000
1671379200000,BNB-251.50000000-244.70000000
1671393600000,BNB-254.00000000-248.10000000
1671408000000,BNB-253.40000000-245.80000000
1671422400000,BNB-248.60000000-245.40000000
1671436800000,BNB-249.00000000-245.90000000
1671451200000,BNB-252.10000000-246.50000000
1671465600000,BNB-247.50000000-240.70000000
1671480000000,BNB-244.80000000-237.00000000
1671494400000,BNB-248.60000000-239.30000000
1671508800000,BNB-251.20000000-247.20000000
1671523200000,BNB-249.60000000-247.00000000
1671537600000,BNB-253.60000000-247.80000000
1671552000000,BNB-251.70000000-248.30000000
1671566400000,BNB-252.60000000-249.70000000
1671580800000,BNB-251.60000000-248.30000000
1671595200000,BNB-249.40000000-247.10000000
1671609600000,BNB-249.90000000-247.40000000
1671624000000,BNB-250.00000000-247.60000000
1671638400000,BNB-249.20000000-245.40000000
1671652800000,BNB-247.70000000-245.30000000
1671667200000,BNB-248.30000000-245.90000000
1671681600000,BNB-248.20000000-244.70000000
1671696000000,BNB-247.20000000-245.20000000
1671710400000,BNB-246.30000000-240.20000000
1671724800000,BNB-243.20000000-240.40000000
1671739200000,BNB-246.40000000-242.50000000
1671753600000,BNB-248.70000000-244.90000000
1671768000000,BNB-247.50000000-245.80000000
1671782400000,BNB-246.90000000-245.30000000
1671796800000,BNB-247.10000000-244.00000000
1671811200000,BNB-246.50000000-245.10000000
1671825600000,BNB-246.50000000-245.60000000
1671840000000,BNB-246.20000000-245.00000000
1671854400000,BNB-246.00000000-244.80000000
1671868800000,BNB-245.50000000-243.40000000
