['FLM'],['USDT'],[],[],[],['long'],"{'T1': '0.1230', 'T2': '0.1322', 'T3': '0.1413'}",['0.1049']
['DASH'],['USDT'],[],[],[],['long'],"{'T1': '63', 'T2': '75', 'T3': '85'}",['42']
['UNI'],['USDT'],[],[],[],['long'],"{'T1': '6.96', 'T2': '7.72', 'T3': '8.48'}",['5.44']
['BICO'],['USDT'],[],[],[],['long'],"{'T1': '0.612', 'T2': '0.700', 'T3': '0.790'}",['0.434']
['MBOX'],['USDT'],[],[],[],['long'],"{'T1': '0.745', 'T2': '0.820', 'T3': '0.895'}",['0.599']
['MBOX'],['USDT'],[],[],[],['long'],"{'T1': '0.745', 'T2': '0.820', 'T3': '0.895'}",['0.599']
['KDA'],['USDT'],[],[],[],['long'],"{'T1': '2.03', 'T2': '2.40', 'T3': '2.75'}",['1.335']
['MBOX'],['USDT'],[],[],[],['long'],"{'T1': '0.745', 'T2': '0.820', 'T3': '0.895'}",['0.599']
['EGLD'],['USDT'],[],[],[],['long'],{},['45']
['ZRX'],['USDT'],[],[],[],['long'],"{'T1': '0.360', 'T2': '0.412', 'T3': '0.465'}",['0.256']
['DOT'],['USDT'],[],[],[],['long'],"{'T1': '8.40', 'T2': '9.60', 'T3': '10'}",['5.97']
['BAND'],['USDT'],[],[],[],['long'],"{'T1': '1.24', 'T2': '1.31', 'T3': '1.41'}",['1.06']
['BAND'],['USDT'],[],[],[],['long'],"{'T1': '1.24', 'T2': '1.31', 'T3': '1.41'}",['1.06']
['ALGO'],['USDT'],[],[],[],['long'],"{'T1': '0.40', 'T2': '0.47', 'T3': '0.54'}",['0.27']
['BAND'],['USDT'],[],[],[],['long'],"{'T1': '1.24', 'T2': '1.31', 'T3': '1.41'}",['1.06']
['MBOX'],['USDT'],[],[],[],['long'],"{'T1': '0.745', 'T2': '0.820', 'T3': '0.895'}",['0.599']
['KSM'],['USDT'],[],[],[],['long'],{},['37']
['KSM'],['USDT'],[],[],[],['long'],{},['37']
['SAND'],['USDT'],[],[],[],['long'],"{'T1': '0.99', 'T2': '1.14', 'T3': '1.29'}",['0.699']
['SAND'],['USDT'],[],[],[],['long'],"{'T1': '0.99', 'T2': '1.14', 'T3': '1.29'}",['0.699']
['CAKE'],['USDT'],[],[],[],['long'],"{'T1': '5.08', 'T2': '5.75', 'T3': '6.85'}",['3.52']
['ANT'],['USDT'],[],[],[],['long'],"{'T1': '1.83', 'T2': '1.99', 'T3': '2.14'}",['1.54']
['ANT'],['USDT'],[],[],[],['long'],"{'T1': '1.83', 'T2': '1.99', 'T3': '2.14'}",['1.54']
['BAND'],['USDT'],[],[],[],['long'],"{'T1': '1.24', 'T2': '1.31', 'T3': '1.41'}",['1.06']
['ANT'],['USDT'],[],[],[],['long'],"{'T1': '1.83', 'T2': '1.99', 'T3': '2.14'}",['1.54']
['BCH'],['USDT'],[],[],[],['long'],"{'T1': '1362', 'T2': '523', 'T3': '68'}",['106']
['BCH'],['USDT'],[],[],[],['long'],"{'T1': '136', 'T2': '152', 'T3': '168'}",['106']
['KSM'],['USDT'],[],[],[],['long'],{},['37']
['BNB'],['USDT'],[],[],[],['long'],"{'T1': '3302', 'T2': '673', 'T3': '04'}",['256']
['BNB'],['USDT'],[],[],[],['long'],"{'T1': '330', 'T2': '367', 'T3': '404'}",['256']
['SKL'],['USDT'],[],[],[],['long'],"{'T1': '0.0454', 'T2': '0.0496', 'T3': '0.0548'}",['0.03399']
['SKL'],['USDT'],[],[],[],['long'],"{'T1': '0.0454', 'T2': '0.0496', 'T3': '0.0548'}",['0.03399']
['DYDX'],['USDT'],[],[],[],['long'],"{'T1': '1.50', 'T2': '1.75', 'T3': '2.00'}",['0.999']
['DYDX'],['USDT'],[],[],[],['long'],"{'T1': '1.50', 'T2': '1.75', 'T3': '2.00'}",['0.999']
['CKB'],['USDT'],[],[],[],['long'],"{'T1': '0.00444', 'T2': '0.00493', 'T3': '0.00542'}",['0.00346']
['CKB'],['USDT'],[],[],[],['long'],"{'T1': '0.00444', 'T2': '0.00493', 'T3': '0.00542'}",['0.00346']
['ADA'],['USDT'],[],[],[],['long'],"{'T1': '0.58', 'T2': '0.67', 'T3': '0.76'}",['0.399']
['CKB'],['USDT'],[],[],[],['long'],"{'T1': '0.00444', 'T2': '0.00493', 'T3': '0.00542'}",['0.00346']
