Name,Date,Time,Cleaned_text,Call
BitmexCourses,2022-09-17,04:41:52,"['LINK', 'LINKUSDT', 'BinanceBuy', 'Between', '7.00', '-', '7.80targets', '8.60', '-', '10', '-', '11', '-', '13', 'Stop', 'Loss', '6.20httpswww.tradingview.comx7IJylz2L', 'BitmexCourses']","[array('LINK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['8.60', '10', '11', '13'], array('6.20', dtype='<U4')]"
BitmexCourses,2022-09-23,04:37:27,"['QNT', 'QNTUSDT', 'BinanceBuy', 'Between', '100', '-', '108Targets', '117', '-', '132', '-', '145', '-', '160Stop', 'Loss', '88httpswww.tradingview.comxxtwNpcEV', 'BitmexCourses']","[array('QNT', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['117', '132', '145', '160'], array('88', dtype='<U2')]"
BitmexCourses,2022-09-23,05:35:33,"['ROSE', 'ROSEUSDT', 'BinanceBuy', 'Between', '0.055', '-', '0.060Targets', '0.066', '-', '0.072', '-', '0.078', '-', '0.088Stop', 'Loss', '0.47Leverage', '3xhttpswww.tradingview.comx2QnDBAOg', 'BitmexCourses']","[array('ROSE', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('3', dtype='<U1'), ['0.066', '0.072', '0.078', '0.088'], array('0.47', dtype='<U4')]"
BitmexCourses,2022-09-24,04:44:00,"['BNB', 'BNBUSDT', 'BinanceBuy', 'Between', '270', '-', '280Targets', '299', '-', '333', '-', '386', '-', '444Stop', 'Loss', '240httpswww.tradingview.comxKpJMQtLR', 'BitmexCourses']","[array('BNB', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['299', '333', '386', '444'], array('240', dtype='<U3')]"
BitmexCourses,2022-09-24,09:12:33,"['EGLD', 'EGLDUSDT', 'BinanceBuy', 'Between', '47', '-', '48.60Targets', '50', '-', '52', '-', '56', '-', '60Stop', 'Loss', '43.20Leverage', '3x', 'httpswww.tradingview.comxGl8Pl0tp', 'BitmexCourses']","[array('EGLD', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('3', dtype='<U1'), ['50', '52', '56', '60'], array('43', dtype='<U2')]"
BitmexCourses,2022-09-26,09:24:43,"['DYDX', 'DYDXUSDT', 'BinanceBuy', 'Between', '1.20', '-', '1.32Targets', '1.42', '-', '1.55', '-', '1.74', '-', '1.90Stop', 'Loss', '1.05httpswww.tradingview.comxoyWk8JEK', 'BitmexCourses']","[array('DYDX', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['1.42', '1.55', '1.74', '1.90'], array('1.05', dtype='<U4')]"
BitmexCourses,2022-09-27,03:17:53,"['UNFI', 'UNFIUSDT', 'BinanceBuy', '6.30', '-', '6.66Targets', '7.0', '-', '7.60', '-', '8.20', '-', '9Stop', 'Loss', '5.60httpswww.tradingview.comxW7PJ02kb', 'BitmexCourses']","[array('UNFI', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['7.0', '7.60', '8.20', '9'], array('5.60', dtype='<U4')]"
BitmexCourses,2022-09-27,04:07:40,"['CELR', 'CELRUSDT', 'BinanceBuy', 'Between', '0.0150', '-', '0.0162Targets', '0.0172', '-', '0.0186', '-', '0.0199', '-', '0.0210Stop', 'Loss', '0.0133Leverage', '3xhttpswww.tradingview.comxC9mosAbE', 'BitmexCourses']","[array('CELR', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('3', dtype='<U1'), ['0.0172', '0.0186', '0.0199', '0.0210'], array('0.0133', dtype='<U6')]"
BitmexCourses,2022-09-27,04:16:26,"['ZEC', 'ZECUSDT', 'BinanceBuy', 'Between', '56', '-', '60Targets', '65', '-', '72', '-', '78', '-', '86Stop', 'Loss', '50Leverage', '2xhttpswww.tradingview.comxgoqIAyTM', 'BitmexCourses']","[array('ZEC', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('2', dtype='<U1'), ['65', '72', '78', '86'], array('50', dtype='<U2')]"
BitmexCourses,2022-09-28,13:20:11,"['Best', 'Crypto', 'Signals', 'one', 'Place', 'Start', 'Making', 'Real', 'Money', 'usWith', 'u', 'find', 'everything', 'need📈', 'Trade', 'Signals', 'From', 'Top', 'Traders🎓', 'Education', 'Programs📲', 'Online', 'Support', '0024Telegram', 'Channel', '👇🏻httpst.mePremiumSignalsForwardWeb', 'Site', '👇🏻httpscryptosignals.ukAdmin👇🏻ProCryptoNY2']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
